"Front","Back","Tags"
"<b>Wat is de wet van Ohm?</b><br><br><b>A:</b> U = I × R<br><b>B:</b> P = U × I<br><b>C:</b> R = ρ × l/A<br><b>D:</b> I = C × dU/dt<br>","<b>✅ CORRECT ANTWOORD: U = I × R</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 1 - Basiswetten<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.8<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( U = I \cdot R \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: P = U × I</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: R = ρ × l/A</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: I = C × dU/dt</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::ohm;topic::vermogen;type::berekening;prioriteit::examen-kritisch"
"<b>Bij serie schakeling is de totale weerstand:</b><br><br><b>A:</b> R_tot = R1 + R2 + R3<br><b>B:</b> 1/R_tot = 1/R1 + 1/R2<br><b>C:</b> R_tot = R1 || R2<br><b>D:</b> R_tot = √(R1² + R2²)<br>","<b>✅ CORRECT ANTWOORD: R_tot = R1 + R2 + R3</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 2 - Serie weerstanden<br>
<b>📖 Holmes:</b> Hoofdstuk 2 §2.5<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( R_v = R_1 + R_2 + ... \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: 1/R_tot = 1/R1 + 1/R2</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: R_tot = R1 || R2</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: R_tot = √(R1² + R2²)</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::berekening;prioriteit::hoog"
"<b>Kirchhoff's knooppuntwet (KCL) stelt:</b><br><br><b>A:</b> Σ I_in = Σ I_uit<br><b>B:</b> Σ U_maas = 0<br><b>C:</b> U = I × R<br><b>D:</b> P = I² × R<br>","<b>✅ CORRECT ANTWOORD: Σ I_in = Σ I_uit</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 1 - Kirchhoff Knooppunt<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.8<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \sum I = 0 \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Σ U_maas = 0</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: U = I × R</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: P = I² × R</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::kirchhoff;topic::vermogen;topic::p-q-s;type::berekening;prioriteit::examen-kritisch"
"<b>Kirchhoff's maaswet (KVL) stelt:</b><br><br><b>A:</b> Σ U_maas = 0<br><b>B:</b> Σ I_in = Σ I_uit<br><b>C:</b> U = I × R<br><b>D:</b> P = U × I<br>","<b>✅ CORRECT ANTWOORD: Σ U_maas = 0</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 1 - Kirchhoff Maas<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.8<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \sum U = 0 \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: Σ I_in = Σ I_uit</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: U = I × R</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: P = U × I</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::kirchhoff;topic::vermogen;topic::p-q-s;type::berekening;prioriteit::examen-kritisch"
"<b>Vermogen bereken je met:</b><br><br><b>A:</b> P = U × I<br><b>B:</b> E = P × t<br><b>C:</b> U = I × R<br><b>D:</b> Q = C × U<br>","<b>✅ CORRECT ANTWOORD: P = U × I</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 6 - Vermogen<br>
<b>📖 Holmes:</b> Hoofdstuk 7 §7.8<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( P = U \cdot I \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: E = P × t</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: U = I × R</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Q = C × U</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","domain::vermogen;topic::vermogen;topic::p-q-s;type::berekening;prioriteit::examen-kritisch"
"<b>Parallel weerstanden bereken je met:</b><br><br><b>A:</b> 1/R_tot = 1/R1 + 1/R2<br><b>B:</b> R_tot = R1 + R2<br><b>C:</b> R_tot = R1 × R2<br><b>D:</b> R_tot = (R1 + R2)/2<br>","<b>✅ CORRECT ANTWOORD: 1/R_tot = 1/R1 + 1/R2</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 2 - Parallel weerstanden<br>
<b>📖 Holmes:</b> Hoofdstuk 2 §2.5<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \frac{1}{R_v} = \frac{1}{R_1} + \frac{1}{R_2} + ... \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: R_tot = R1 + R2</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: R_tot = R1 × R2</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: R_tot = (R1 + R2)/2</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::berekening;prioriteit::hoog"
"<b>Energie bereken je met:</b><br><br><b>A:</b> E = P × t<br><b>B:</b> P = U × I<br><b>C:</b> W = ½LI²<br><b>D:</b> Q = CV<br>","<b>✅ CORRECT ANTWOORD: E = P × t</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 10 - Energie<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.9<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( E = P \cdot t \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: P = U × I</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: W = ½LI²</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: Q = CV</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","topic::vermogen;topic::p-q-s;type::berekening;prioriteit::hoog"
"<b>Rendement bereken je met:</b><br><br><b>A:</b> η = P_uit / P_in<br><b>B:</b> η = P_in / P_uit<br><b>C:</b> η = P_uit × P_in<br><b>D:</b> η = P_in - P_uit<br>","<b>✅ CORRECT ANTWOORD: η = P_uit / P_in</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 10 - Rendement<br>
<b>📖 Holmes:</b> Hoofdstuk 1 §1.9<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \eta = \frac{P_{uit}}{P_{in}} \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: η = P_in / P_uit</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: η = P_uit × P_in</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: η = P_in - P_uit</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::berekening;prioriteit::hoog"
"<b>Een ideale spanningsbron heeft:</b><br><br><b>A:</b> R_binnen = 0 Ω<br><b>B:</b> R_binnen = ∞<br><b>C:</b> R_binnen = 50 Ω<br><b>D:</b> R_binnen variabel<br>","<b>✅ CORRECT ANTWOORD: R_binnen = 0 Ω</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 4 - Hoekfrequentie<br>
<b>📖 Holmes:</b> Hoofdstuk 7 §7.3<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \omega = 2\pi f \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: R_binnen = ∞</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: R_binnen = 50 Ω</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: R_binnen variabel</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::berekening;prioriteit::hoog"
"<b>Hoekfrequentie ω bereken je met:</b><br><br><b>A:</b> ω = 2πf<br><b>B:</b> ω = f/2π<br><b>C:</b> ω = πf<br><b>D:</b> ω = f²<br>","<b>✅ CORRECT ANTWOORD: ω = 2πf</b><br><br>
<b>📘 Formuleblad v3 2023:</b> Sectie 4 - Hoekfrequentie<br>
<b>📖 Holmes:</b> Hoofdstuk 7 §7.3<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>💡 UITLEG:</b><br><br>
De correcte formule is:<br>
\( \omega = 2\pi f \)<br><br>
Deze formule komt direct van het <b>formuleblad</b> dat je op het examen krijgt.<br><br>
━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>❌ WAAROM ANDERE ANTWOORDEN FOUT:</b><br><br><b>B: ω = f/2π</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>C: ω = πf</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br><b>D: ω = f²</b><br>→ Dit is een andere formule (niet wat gevraagd wordt)<br><br>━━━━━━━━━━━━━━━━━━━━━━━━━━━━<br><br>
<b>🎯 EXAM TIP:</b><br>
Leer de formules op het formuleblad uit je hoofd, inclusief wanneer je welke gebruikt.<br>
","type::berekening;prioriteit::hoog"
