Front,Back,Tags
Leg uit waarom de stroom door een condensator 90° voorijlt op de spanning. Gebruik de definitieformule.,"<b>Definitieformule:</b> \( i_C = C \frac{du_C}{dt} \)<br><br><b>Voor sinusvormige spanning:</b><br>\( u_C(t) = \hat{U} \sin(\omega t) \)<br><br><b>Afgeleide:</b><br>\( \frac{du_C}{dt} = \hat{U} \omega \cos(\omega t) \)<br><br><b>Stroom:</b><br>\( i_C = C \hat{U} \omega \cos(\omega t) \)<br><br><b>Faseverschil:</b><br>sin(ωt) vs cos(ωt) = sin(ωt + 90°)<br><br><b>Conclusie:</b> De stroom (cosinus) loopt 90° voor op de spanning (sinus). Dit komt omdat de stroom evenredig is met de spanningsverandering (δu/δt), niet met u zelf.<br><br><b>Antwoord:</b> Stroom ijlt 90° voor door δu/δt relatie",condensator;fase;faseverschil;definitie;niveau-gemiddeld;type-kennis
"Wat is het verschil tussen effectieve waarde (RMS) van een sinusgolf, blokgolf en zaagtandgolf als alle topwaarde 10V hebben?","<b>Sinusgolf:</b><br>\( U_{eff} = \frac{\hat{U}}{\sqrt{2}} = \frac{10}{1.414} = 7.07 \text{ V} \)<br><br><b>Blokgolf (symmetrisch):</b><br>\( U_{eff} = \hat{U} = 10 \text{ V} \)<br><br><b>Zaagtandgolf:</b><br>\( U_{eff} = \frac{\hat{U}}{\sqrt{3}} = \frac{10}{1.732} = 5.77 \text{ V} \)<br><br><b>Rangschikking:</b><br>Blokgolf (10V) > Sinus (7.07V) > Zaagtand (5.77V)<br><br><b>Waarom?</b> Blokgolf levert constant vermogen, zaagtand bouwt lineair op (laagste gemiddelde).<br><br><b>Antwoord:</b> 7.07V, 10V, 5.77V<br><br><img src=""vermogensdriehoek_PQS.svg"" style=""max-width:600px;"">",effectieve-waarde;golfvormen;RMS;vergelijking;niveau-gemiddeld;type-kennis;has-image
Een toroïde met luchtspleet heeft flux 50µWb in de spleet. Hoe groot is de flux in het kernmateriaal? Motiveer.,"<b>Antwoord:</b> Ook 50µWb<br><br><b>Motivering 1 (symmetrie):</b><br>Het magnetische veld van een toroïde is vrijwel geheel opgesloten binnen de spoel. Uit symmetrieoverwegingen volgt dat de veldlijnen concentrische cirkels vormen. De flux is overal in de magnetische kring (kern + spleet) gelijk.<br><br><b>Motivering 2 (magnetische kring):</b><br>\( \Phi = \frac{N \cdot I}{R_{ijzer} + R_{lucht}} \)<br><br>De magnetische weerstanden staan in serie, dus de flux moet door beide delen heen → overal dezelfde waarde.<br><br><b>Antwoord:</b> 50µWb (gelijk)",magnetisme;flux;toroide;luchtspleet;niveau-gemiddeld;type-kennis
Leg uit: waarom is de arbeidsfactor (cos φ) altijd ≤ 1 en wat betekent cos φ = 1 fysisch?,"<b>Definitie:</b> \( \cos\phi = \frac{P}{S} \)<br><br><b>Fysisch:</b><br>- P = werkzaam vermogen (nuttige arbeid)<br>- S = schijnbaar vermogen (totaal geleverd)<br><br><b>Waarom ≤ 1?</b><br>P kan nooit groter zijn dan S, want P is slechts een component van S:<br>\( S = \sqrt{P^2 + Q^2} \geq P \)<br><br><b>cos φ = 1 betekent:</b><br>- φ = 0° (geen faseverschil)<br>- Q = 0 (geen blindvermogen)<br>- Puur resistieve belasting<br>- 100% energie wordt omgezet in nuttig werk<br>- Ideale situatie (geen spoelen/condensatoren)<br><br><b>Antwoord:</b> cos φ ≤ 1 door definitie P/S; cos φ = 1 = puur resistief<br><br><img src=""vermogensdriehoek_PQS.svg"" style=""max-width:600px;"">",arbeidsfactor;cosphi;fysische-betekenis;vermogen;niveau-gemiddeld;type-kennis;has-image
"Wat is het verschil tussen werkzaam vermogen (P), blindvermogen (Q) en schijnbaar vermogen (S)? Geef eenheden.","<b>Werkzaam vermogen (P):</b><br>- Nuttig vermogen dat arbeid verricht<br>- Omgezet in licht, warmte, beweging<br>- Eenheid: Watt [W]<br>- Formule: P = U·I·cos φ<br><br><b>Blindvermogen (Q):</b><br>- Heen-en-weer pendelend vermogen<br>- Opgeslagen in spoelen (inductief) en condensatoren (capacitief)<br>- Verricht geen arbeid<br>- Eenheid: var [volt-ampère-reactief]<br>- Formule: Q = U·I·sin φ<br><br><b>Schijnbaar vermogen (S):</b><br>- Totaal geleverd vermogen<br>- Belangrijk voor dimensionering kabels/transformatoren<br>- Eenheid: VA [volt-ampère]<br>- Formule: S = U·I of S = √(P² + Q²)<br><br><b>Relatie:</b> S² = P² + Q²<br><br><img src=""vermogensdriehoek_PQS.svg"" style=""max-width:600px;"">",vermogen;definitie;eenheden;begrip;niveau-basis;examen-kritisch;type-kennis;has-image
Leg uit: wat is de fysische betekenis van inductieve reactantie XL en waarom neemt deze toe met frequentie?,"<b>Definitie:</b> \( X_L = 2\pi f L = \omega L \)<br><br><b>Fysische betekenis:</b><br>XL is de 'schijnbare weerstand' van een spoel voor wisselstroom. Het is de verhouding tussen spanning en stroom, maar zonder vermogensdissipatie (geen warmte).<br><br><b>Waarom toename met f?</b><br>1. Bij hogere frequentie verandert de stroom sneller<br>2. \( u_L = L \frac{di}{dt} \) → snellere stroomverandering → hogere geïnduceerde spanning<br>3. Hogere spanning bij zelfde stroom → hogere 'weerstand'<br><br><b>Limietgevallen:</b><br>- f = 0 (DC): XL = 0 (spoel = kortsluiting)<br>- f → ∞: XL → ∞ (spoel = open klem)<br><br><b>Antwoord:</b> XL = AC-'weerstand' spoel; neemt toe met f door δi/δt<br><br><img src=""vermogensdriehoek_PQS.svg"" style=""max-width:600px;"">",inductieve-reactantie;fysische-betekenis;frequentie;spoel;niveau-gemiddeld;type-kennis;has-image
Wat zijn twee voordelen en drie nadelen van een magnetische kern in een transformator?,"<b>Voordelen (kies 2):</b><br>1. Koppelfactor k ≈ 1 (vrijwel perfecte koppeling)<br>2. Hogere efficiëntie / hoger rendement<br>3. Magnetisch veld opgesloten (minder EMI)<br>4. Compacte constructie mogelijk<br><br><b>Nadelen (kijs 3):</b><br>1. Hystereseverliezen (energieverlies door magnetisatie-omkering)<br>2. Wervelstroomverliezen (in geleidende kern)<br>3. Inschakelstroom (verzadiging bij inschakelen)<br>4. Niet-lineariteit (bij verzadiging)<br>5. Warmteontwikkeling door verliezen<br>6. Hogere massa en kosten<br>7. Ongewenste geluiden (bromtonen)<br><br><b>Antwoord:</b> Voordelen: betere koppeling, hoger rendement; Nadelen: verliezen, verzadiging, warmte<br><br><img src=""transformer_with_load.svg"" style=""max-width:600px;"">",transformator;kern;voordelen;nadelen;niveau-gemiddeld;examen-kritisch;type-kennis;has-image
"<img src=""series_resonance.svg"" style=""max-width:600px;""><br><br>Leg uit het verschil tussen serie- en parallel-resonantie in een RLC-kring.","<b>Serie-resonantie (f = f₀):</b><br>- XL = XC → heffen elkaar op<br>- Impedantie minimaal: Z = R (kleinst mogelijk)<br>- Stroom maximaal: I = U/R<br>- Toepassing: bandfilter (doorlaten f₀)<br>- Spanningen over L en C kunnen > bronspanning zijn!<br><br><b>Parallel-resonantie (f = f₀):</b><br>- XL = XC → heffen elkaar op<br>- Impedantie maximaal: Z → zeer hoog<br>- Stroom minimaal (bijna nul door parallel-tak)<br>- Toepassing: sperfilter (blokkeren f₀)<br>- Stromen door L en C kunnen > bronstroom zijn!<br><br><b>Vergelijking:</b><br>Serie: Z↓, I↑ bij f₀<br>Parallel: Z↑, I↓ bij f₀<br><br><b>Antwoord:</b> Serie: Z min, I max; Parallel: Z max, I min",resonantie;serie;parallel;RLC;filter;niveau-gevorderd;type-kennis;has-image
Waarom moet bij driefase de fasevolgorde L1-L2-L3 correct zijn voor motoren?,"<b>Fasevolgorde betekenis:</b><br>De volgorde waarin de fasen hun maximum bereiken bepaalt de draairichting van het magnetisch veld in de motor.<br><br><b>Correcte volgorde L1-L2-L3:</b><br>- Magnetisch veld draait rechtsom<br>- Motor draait in bedoelde richting<br>- Faseverschil 120° tussen elke fase<br><br><b>Omgekeerde volgorde L1-L3-L2:</b><br>- Magnetisch veld draait linksom<br>- Motor draait in tegengestelde richting!<br>- Gevaarlijk bij pompen, ventilatoren<br><br><b>Omkeren draairichting:</b><br>Wissel twee fasen om (bijv. L2 en L3)<br><br><b>Controle:</b> Fase-volgorde meter gebruiken<br><br><b>Antwoord:</b> Bepaalt draairichting motor; fout = motor draait verkeerd om<br><br><img src=""driefase_120graden.svg"" style=""max-width:600px;"">",driefase;fasevolgorde;motor;draairichting;praktijk;niveau-gemiddeld;type-kennis;has-image
Leg uit: wat gebeurt er fysisch in een spoel bij inschakelmoment (DC-spanning)?,"<b>Bij t = 0 (inschakelen):</b><br>De stroom probeert van 0 naar I = U/R te springen<br><br><b>Spoel verzet zich:</b><br>\( u_L = L \frac{di}{dt} \)<br><br>Bij snelle di/dt ontstaat grote tegenspanning die de stroomverandering tegenwerkt.<br><br><b>Resultaat:</b><br>- Stroom stijgt exponentieel (niet direct)<br>- Tijdconstante: τ = L/R<br>- Na 5τ: stroom ≈ eindwaarde (99%)<br>- Spanning over spoel neemt af: UL(0) = Ubron → UL(∞) = 0<br><br><b>Fysisch:</b><br>Magnetisch veld bouwt op, energie wordt opgeslagen (½LI²)<br><br><b>Uitschakelmoment:</b><br>Plotse afname → zeer hoge spanning mogelijk → vonk/beschadiging<br><br><b>Antwoord:</b> Stroom stijgt exponentieel met τ = L/R",spoel;inschakelgedrag;exponentieel;tijdconstante;fysica;niveau-gemiddeld;type-kennis
Waarom gebruikt men bij vermogentransmissie hoogspanning (bijv. 150kV) i.p.v. laagspanning?,"<b>Probleem laagspanning:</b><br>Bij hoge vermogens → zeer hoge stromen<br><br><b>Voorbeeld:</b> P = 10MW bij 400V<br>\( I = \frac{P}{U} = \frac{10 \times 10^6}{400} = 25000 \text{ A} \) (onhaalbaar!)<br><br><b>Zelfde vermogen bij 150kV:</b><br>\( I = \frac{10 \times 10^6}{150000} = 67 \text{ A} \) (haalbaar)<br><br><b>Verlies in kabels:</b><br>\( P_{verlies} = I^2 R \)<br><br>Bij 400V: Pverlies ∝ 25000² (enorm!)<br>Bij 150kV: Pverlies ∝ 67² (minimaal)<br><br><b>Conclusie:</b><br>Hoogspanning → lage stromen → dunne kabels → lage verliezen<br><br><b>Nadeel:</b> Dure transformatoren, isolatie, veiligheid<br><br><b>Antwoord:</b> Lagere verliezen door I²R (lage I bij hoge U)",hoogspanning;transmissie;verliezen;praktijk;niveau-gemiddeld;type-kennis
Leg uit: waarom is het gevaarlijk om een spoel zonder beschermdiode uit te schakelen?,<b>Bij uitschakelen:</b><br>Stroom door spoel wil niet direct naar 0 (spoel verzet zich tegen stroomverandering)<br><br><b>Formule:</b> \( u_L = -L \frac{di}{dt} \)<br><br><b>Bij zeer snelle uitschakeling:</b><br>- di/dt is zeer groot (stroom daalt snel)<br>- uL kan honderden tot duizenden volts worden!<br>- Veel hoger dan voedingsspanning<br><br><b>Gevolgen:</b><br>- Vonkvorming over schakelaar<br>- Doorslag transistor/relais<br>- Beschadiging elektronica<br>- Brandgevaar<br><br><b>Oplossing - vrijloopdiode:</b><br>Diode antiparallel over spoel → stroom kan blijven vloeien tijdens afbouw → energie dissipeert veilig<br><br><b>Antwoord:</b> Zeer hoge spanningspiek door -L(di/dt) → vonk/schade,spoel;uitschakelen;spanningspiek;vrijloopdiode;veiligheid;niveau-gemiddeld;type-kennis
Leg uit: waarom kan de spanning over een condensator niet springen (discontinuïteit)?,"<b>Definitieformule:</b> \( i_C = C \frac{du_C}{dt} \)<br><br><b>Spanningssprong betekent:</b><br>du/dt → ∞ (oneindig steile flank)<br><br><b>Consequentie:</b><br>\( i_C = C \cdot \infty = \infty \)<br><br>Oneindige stroom is fysisch onmogelijk (eindige energiebron, kabelweerstand, etc.)<br><br><b>Fysische reden:</b><br>Lading Q = C·U moet worden verplaatst. Dit vereist stroom gedurende tijd. Directe verandering zou oneindige stroom vereisen.<br><br><b>Praktisch:</b><br>- Spanning over C verandert exponentieel (niet abrupt)<br>- Tijdconstante τ = R·C<br>- Stroom kan wel springen!<br><br><b>Analogie:</b> Spoel: stroom kan niet springen (i = ∫(u/L)dt)<br><br><b>Antwoord:</b> Zou oneindige stroom vereisen (fysisch onmogelijk)<br><br><img src=""vermogensdriehoek_PQS.svg"" style=""max-width:600px;"">",condensator;continuïteit;spanning;fysica;definitie;niveau-gemiddeld;type-kennis;has-image
Waarom wordt blindvermogencompensatie uitgevoerd met condensatoren en niet met weerstanden?,"<b>Probleem blindvermogen:</b><br>Inductieve belasting (motoren) vereist Q (magnetisch veld), maar levert geen nuttig werk.<br><br><b>Waarom condensatoren?</b><br>1. Condensatoren leveren capacitief Q (negatief)<br>2. Inductief Q + Capacitief Q = compensatie<br>3. Condensator dissipeert GEEN vermogen (ideaal)<br>4. Energie pendelt heen-en-weer zonder verlies<br><br><b>Waarom NIET weerstanden?</b><br>1. Weerstand dissipeert vermogen: P = I²R (warmte)<br>2. Blindvermogen zou worden omgezet in nutteloos warmteverlies<br>3. Energierekening stijgt i.p.v. daalt!<br>4. Weerstand verbetert cos φ niet<br><br><b>Resultaat compensatie:</b><br>Qtotaal↓ → S↓ → I↓ → cos φ↑ → lagere transportkosten<br><br><b>Antwoord:</b> Condensatoren dissiperen geen vermogen (geen verliezen)<br><br><img src=""vermogensdriehoek_PQS.svg"" style=""max-width:600px;"">",blindvermogen;compensatie;condensator;weerstand;fysica;niveau-gemiddeld;type-kennis;has-image
