Front,Back,Tags
"Gegeven: Een driefasensysteem met lijnspanning 400V in ster-configuratie. Bereken de fasespanning en leg uit waarom de factor √3 gebruikt wordt.","<b>Formule:</b> \( U_{fase} = \frac{U_{lijn}}{\sqrt{3}} \)<br><br><b>Berekening:</b><br>\( U_{fase} = \frac{400}{\sqrt{3}} = \frac{400}{1.732} = 231 \text{ V} \)<br><br><b>Waarom √3?</b><br>In ster-configuratie ligt de fasespanning tussen fase en nulpunt. De lijnspanning ligt tussen twee fasen die 120° uit fase zijn. Door vectoroptelling ontstaat een factor √3 tussen lijn- en fasespanning.<br><br><b>Antwoord:</b> 231V","driefase;ster-configuratie;spanning;formule;niveau-basis;examen-kritisch;type-rekenen"
"Een student berekent het schijnbaar vermogen als: S = P + Q = 3000W + 2000VAR = 5000VA. Wat is de fout en wat is de correcte berekening?","<b>Fout:</b> Vermogensoptelling is NIET lineair (geen algebraïsche som)!<br><br><b>Correcte formule:</b> \( S = \sqrt{P^2 + Q^2} \)<br><br><b>Juiste berekening:</b><br>\( S = \sqrt{3000^2 + 2000^2} = \sqrt{9000000 + 4000000} = \sqrt{13000000} = 3606 \text{ VA} \)<br><br><b>Waarom?</b> P en Q staan loodrecht op elkaar in de vermogensdriehoek (Pythagoras!).<br><br><b>Antwoord:</b> 3606 VA (niet 5000 VA)","vermogen;schijnbaar-vermogen;foutanalyse;vermogensdriehoek;niveau-gemiddeld;examen-kritisch;type-rekenen"
"Bereken de capacitieve reactantie van een condensator C = 10µF bij f = 50Hz. Wat gebeurt er met Xc als de frequentie verdubbelt?","<b>Formule:</b> \( X_C = \frac{1}{2\pi f C} \)<br><br><b>Berekening bij 50Hz:</b><br>\( X_C = \frac{1}{2\pi \cdot 50 \cdot 10 \times 10^{-6}} = \frac{1}{0.00314} = 318 \text{ Ω} \)<br><br><b>Bij 100Hz:</b><br>\( X_C = \frac{1}{2\pi \cdot 100 \cdot 10 \times 10^{-6}} = 159 \text{ Ω} \)<br><br><b>Conclusie:</b> Als frequentie verdubbelt (×2), halveert Xc (÷2). Dit komt omdat Xc omgekeerd evenredig is met f.<br><br><b>Antwoord:</b> 318Ω bij 50Hz; 159Ω bij 100Hz","capaciteit;reactantie;frequentie-afhankelijk;formule;niveau-gemiddeld;examen-kritisch;type-rekenen"
"Een motor neemt 60kW op bij een schijnbaar vermogen van 68kVA. Bereken:<br>a) De arbeidsfactor (cos φ)<br>b) Het blindvermogen Q","<b>Deel a - Arbeidsfactor:</b><br>\( \cos\phi = \frac{P}{S} = \frac{60}{68} = 0.882 \)<br><br><b>Deel b - Blindvermogen:</b><br><b>Methode 1 (Pythagoras):</b><br>\( Q = \sqrt{S^2 - P^2} = \sqrt{68^2 - 60^2} = \sqrt{4624 - 3600} = \sqrt{1024} = 32 \text{ kvar} \)<br><br><b>Methode 2 (via hoek):</b><br>\( \phi = \cos^{-1}(0.882) = 28.1° \)<br>\( Q = S \cdot \sin\phi = 68 \cdot \sin(28.1°) = 68 \cdot 0.471 = 32 \text{ kvar} \)<br><br><b>Antwoord:</b> cos φ = 0.88; Q = 32 kvar","vermogen;blindvermogen;cosphi;arbeidsfactor;niveau-gemiddeld;examen-kritisch;type-rekenen"
"Een RL-serie schakeling heeft R = 60Ω en wordt aangesloten op 9V DC: stroom = 150mA. Op 9V AC: stroom = 120mA. Bereken cos φ bij AC.","<b>Stap 1 - DC situatie (alleen R):</b><br>\( R = \frac{U}{I} = \frac{9}{0.15} = 60 \text{ Ω} \)<br><br><b>Stap 2 - AC situatie (R + XL):</b><br>\( |Z| = \frac{U}{I} = \frac{9}{0.12} = 75 \text{ Ω} \)<br><br><b>Stap 3 - Reactantie:</b><br>\( X_L = \sqrt{Z^2 - R^2} = \sqrt{75^2 - 60^2} = \sqrt{5625 - 3600} = \sqrt{2025} = 45 \text{ Ω} \)<br><br><b>Stap 4 - cos φ:</b><br>\( \cos\phi = \frac{R}{Z} = \frac{60}{75} = 0.80 \)<br><br><b>Controle:</b> \( \tan\phi = \frac{X_L}{R} = \frac{45}{60} = 0.75 \) → φ = 36.9° → cos(36.9°) = 0.80 ✓<br><br><b>Antwoord:</b> cos φ = 0.80","impedantie;RL-kring;cosphi;DC-vs-AC;niveau-gevorderd;examen-kritisch;type-rekenen"
"Wat is de effectieve waarde (RMS) van een sinusvormige spanning met een topwaarde (amplitude) van 325V?","<b>Formule:</b> \( U_{eff} = \frac{\hat{U}}{\sqrt{2}} \)<br><br><b>Berekening:</b><br>\( U_{eff} = \frac{325}{\sqrt{2}} = \frac{325}{1.414} = 230 \text{ V} \)<br><br><b>Waarom √2?</b><br>De effectieve waarde is de DC-waarde die hetzelfde vermogen levert als de AC-spanning. Voor een sinusgolf geldt: \( U_{eff} = 0.707 \times \hat{U} \)<br><br><b>Praktijk:</b> Netspanning 230V (RMS) heeft topwaarde ±325V.<br><br><b>Antwoord:</b> 230V","effectieve-waarde;RMS;sinus;formule;niveau-basis;type-rekenen"
"Een transformator heeft primaire spanning 6000V en 300 windingen. Secundaire spanning moet 800V zijn. Hoeveel windingen nodig aan secundaire zijde?","<b>Formule:</b> \( \frac{N_1}{N_2} = \frac{U_1}{U_2} \)<br><br><b>Herschrijven:</b><br>\( N_2 = N_1 \cdot \frac{U_2}{U_1} \)<br><br><b>Berekening:</b><br>\( N_2 = 300 \cdot \frac{800}{6000} = 300 \cdot 0.133 = 40 \text{ windingen} \)<br><br><b>Controle:</b> Wikkelverhouding = 300/40 = 7.5 = 6000/800 ✓<br><br><b>Antwoord:</b> 40 windingen","transformator;wikkelverhouding;windingen;formule;niveau-basis;examen-kritisch;type-rekenen"
"Bereken de vervangingsweerstand van drie weerstanden in parallel: R1 = 30Ω, R2 = 20Ω, R3 = 60Ω.","<b>Formule parallel:</b> \( \frac{1}{R_v} = \frac{1}{R_1} + \frac{1}{R_2} + \frac{1}{R_3} \)<br><br><b>Berekening:</b><br>\( \frac{1}{R_v} = \frac{1}{30} + \frac{1}{20} + \frac{1}{60} \)<br><br>\( \frac{1}{R_v} = \frac{2}{60} + \frac{3}{60} + \frac{1}{60} = \frac{6}{60} = \frac{1}{10} \)<br><br>\( R_v = 10 \text{ Ω} \)<br><br><b>Tip:</b> Bij parallel is Rv altijd kleiner dan de kleinste weerstand (hier 20Ω).<br><br><b>Antwoord:</b> 10Ω","weerstand;parallel;schakeling;formule;niveau-basis;type-rekenen"
"Een knooppunt heeft volgende stromen: I1 = 4A (naar binnen), I2 = 6A (naar buiten), I3 = 2A (naar buiten), I4 = 7A (naar buiten), I5 = 1A (naar binnen). Bereken de stroom door de ampèremeter Ix (horizontaal).","<b>Eerste wet van Kirchhoff:</b><br>\( \sum I_{in} = \sum I_{uit} \)<br><br><b>Stromen naar knooppunt toe:</b><br>I1 + I5 = 4 + 1 = 5A<br><br><b>Stromen van knooppunt af:</b><br>I2 + I3 + I4 + Ix = 6 + 2 + 7 + Ix = 15 + Ix<br><br><b>Vergelijking:</b><br>5 = 15 + Ix<br>Ix = 5 - 15 = -10A<br><br><b>Interpretatie:</b> Negatief betekent dat de stroom de tegengestelde richting heeft (naar het knooppunt toe i.p.v. weg).<br><br><b>Antwoord:</b> 10A, negatieve uitslag","kirchhoff;knooppunt;stroom;KCL;niveau-basis;examen-kritisch;type-rekenen"
"Drie condensatoren: C1 = 10µF (serie), C2 = 8µF (parallel met C3), C3 = 12µF. Wat gebeurt met Cv als C3 doorslaat (kortsluiting)?","<b>Stap 1 - Normale situatie:</b><br>C2 en C3 parallel: C23 = 8 + 12 = 20µF<br>C1 serie met C23: \( \frac{1}{C_v} = \frac{1}{10} + \frac{1}{20} = \frac{3}{20} \)<br>Cv = 6.67µF<br><br><b>Stap 2 - C3 doorslaat:</b><br>C3 wordt kortsluiting → C2 wordt ook kortgesloten (parallel)<br>Alleen C1 blijft over: Cv = 10µF<br><br><b>Verandering:</b><br>10 - 6.67 = 3.33µF toename<br><br><b>Waarom?</b> Kortsluiting elimineert de parallel-combinatie.<br><br><b>Antwoord:</b> Cv neemt toe met 3.33µF (van 6.67 naar 10µF)","condensator;foutanalyse;kortsluiting;serie-parallel;niveau-gemiddeld;type-rekenen"
