Front,Back,Tags
"<b>Hoofdstuk 1.9</b><br><br>Bij een knooppunt geldt:
en
[zie formule]
[zie formule]
Bereken  , en .
[zie formule]
[zie formule]
[zie formule]<br><br><img src='opgave_268.png' style='max-width:600px;'><br><img src='opgave_269.png' style='max-width:600px;'><br><img src='opgave_270.png' style='max-width:600px;'><br>","<b>Uitwerking:</b><br><br>Stroomwet van Kirchhoff: De som van alle stromen naar een knooppunt is gelijk aan de som van stromen vanaf dat knooppunt.
Dus in de afbeelding zijn de binnenkomende stromen:   , en  en de uitgaande stroom .
[formule]
[formule]
[formule]
[formule]
Dus:
Verder is   en  Als we dat invullen in de eerste vergelijking levert dat op:
[formule]
[formule]
dus
[formule]
[formule]
Dus kunnen we nu de andere stromen uitrekenen:
en
[formule]<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;kirchhoff;niveau-gemiddeld;h1-9;berekening;netwerk-analyse
"<b>Hoofdstuk 1.9</b><br><br>Spanningswet van Kirchhoff: De som van alle spanningen in een gesloten kring is nul.
Dus in de afbeelding moet gelden als we rechtsom kijken:
Invullen gegeven waarden:","<b>Uitwerking:</b><br><br>Zie schema hiernaast met simulatie.
Dus in de afbeelding moet gelden: als we linksom kijken in de richting van  (let op de stroomrichting en de polariteit van de stroommeter):
[formule]
Invullen gegeven waarden:
Tip: als weerstanden in kΩ dan stromen in mA en krijg je eenvoudiger formules.<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;kirchhoff;niveau-gemiddeld;h1-9;berekening;netwerk-analyse
"<b>Hoofdstuk 1.9</b><br><br>In dit netwerk is de spanning over de weerstand  gelijk aan:
[zie formule]
a:
[zie formule]
b:
[zie formule]
c:
[zie formule]
d:
[zie formule]","<b>Uitwerking:</b><br><br>De stroom  staat getekend dat die de weerstand  ingaat bij de – van . Dus is alleen antwoord b: juist.
[formule]
[formule]
[formule]<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;niveau-gemiddeld;h1-9;berekening
"<b>Hoofdstuk 1.9</b><br><br>In dit netwerk is de stroom door de weerstand  gelijk aan:
[zie formule]
a:
[zie formule]
b:
[zie formule]
c:
[zie formule]
d:
[zie formule]","<b>Uitwerking:</b><br><br>Laat je niet gek maken! Over  staat gewoon de spanning van de spanningsbron . Dus is alleen antwoord a: juist.
[formule]
[formule]<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;niveau-gemiddeld;h1-9;berekening
"<b>Hoofdstuk 1.9</b><br><br>In dit netwerk is de stroom door de weerstand  gelijk aan:
[zie formule]
a:
[zie formule]
b:
[zie formule]
c:
[zie formule]
d:
[zie formule]","<b>Uitwerking:</b><br><br>Dit moet je oplossen met de stroomwet van Kirchhoff, want je kijkt naar het knooppunt tussen U1 en de stroombron I2. De maas rechtsboven kun je vergeten omdat de spanningsbron U1 de stromen  en  levert. Dan zijn de inkomende stromen  en  en de uitgaande stromen  en .
[formule]
[formule]
[formule]
[formule]
[formule]
[formule]
=>
[formule]
[formule]
Dus is alleen antwoord d: juist.
H 2.6. blz. 21<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;kirchhoff;niveau-gemiddeld;h1-9;berekening;netwerk-analyse
"<b>Hoofdstuk 1.9</b><br><br>Twee lampen zijn parallel geschakeld, en via twee draden van ieder 6 meter verbonden met een (net-)spanning van 230 V. De weerstand van iedere lamp is 150 Ω; de draad heeft een weerstand van 2 Ω/m.
Teken het netwerkschema; bereken daarna de vervangingsweerstand van het netwerk,","<b>Uitwerking:</b><br><br>R3 en R4 zijn de weerstanden van de draad van 6 meter. De weerstand van de draad is 2 Ω/m, Dus .
[formule]
De beide lampen staan parallel, dus de totale weerstand van de lampen = 150/2 = 75 Ω.
Dus:
[formule]<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;netwerk-analyse;niveau-gemiddeld;h1-9
"<b>Hoofdstuk 1.9</b><br><br>Bewijs dat de vervangingsweerstand van drie parallel geschakelde weerstanden  niet gelijk is aan het product van die weerstanden gedeeld door de som:
[zie formule]","<b>Uitwerking:</b><br><br>De dimensie van de formule is (Ohm)3/Ohm, dus Ohm2. En dus kan dit geen weerstand zijn. Dus moet de formule fout zijn.
Onderstaand een uitvoeriger bewijs:
Voor de vervangingsweerstand geldt:
Eerst moet alles onder dezelfde noemer worden gebracht, dus :
[formule]
Dus:  q.e.d.
[formule]
(Latijn: quod erat demonstrandum = hetgeen bewezen diende te worden)<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;netwerk-analyse;niveau-gemiddeld;h1-9
<b>Hoofdstuk 1.9</b><br><br>Bewijs dat de vervangingsgeleiding van meerdere parallel geschakelde weerstanden wel gelijk is aan:,"<b>Uitwerking:</b><br><br>Op pagina 17 staat dat de Geleiding  en dat voor parallel schakeling van weerstanden geldt:
[formule]
[formule]
Als we overal in de formule voor de geleiding 1/R invullen ontstaat inderdaad die van de weerstanden. Q.e.d.
Een alternatieve benadering is deze:
Voor G geldt: G = I/U. Als ik G1, G2, …..  en Gn parallel schakel, dan geldt dat de U's gelijk zijn en de I's opgeteld worden, dus geldt voor de parallel schakeling van die geleidingen dat Itotaal = I1 + I2 + …. In = U.( G1 + G2 + ….. Gn)
Dit betekent dat Itotaal/U = Gtotaal = G1 + G2 + ….. Gn.    Q.e.d.<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;netwerk-analyse;inductie;niveau-gemiddeld;h1-9
"<b>Hoofdstuk 1.9</b><br><br>Een ampèremeter met een weerstand van 0,7 Ω geeft een volle schaaluitslag bij een spanning van 0,015 V tussen de klemmen. Hoe groot moet de parallelweerstand (‘shuntweerstand’) zijn voor een meetbereik van 15 A?","<b>Uitwerking:</b><br><br>De meter heeft een weerstand van 0,7 Ω, maar dat is helemaal niet van belang voor deze vraag. Het enige gegeven dat belangrijk is, is dat de meter een volle uitslag geeft bij 0,015 V. Dus die spanning moet over de ampèremeter staan als 15 A door de meter vloeit. Over de te bepalen parallelweerstand staat dan dus ook 0,015V (zie schema). Dan is het niet meer zo moeilijk om de weerstandswaarde van R2 te bepalen:
= 1 mΩ
[formule]<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;netwerk-analyse;niveau-gemiddeld;h1-9
"<b>Hoofdstuk 1.9</b><br><br>Eerst een recht-toe-recht-aan benadering. Hier kun je eerst de vervangingsweerstand van de 3 parallel weerstanden uitrekenen (via de geleiding). Maar dat kan hier ook met een handig, snel trucje: Het KGV is 60 Ohm. Er staan dan 6 + 3 + 2 = 11 weerstanden van 60 Ohm parallel  R = 60/11 Ohm. U is dan 12 mA . 60/11 = 720/11 Volt. Vervolgens reken je de stromen uit. Per R van 60 Ohm is I = 720/11/60 = 12/11 mA.
Dus I1 = -  6.12/11 = - 6,54 mA (let op het teken!)
Dus I2 = + 3.12/11 = 3,27 mA
Dus I3 = + 2.12/11 = 2,18 mA
Veel sneller gaat het zo: de verhoudingen van de stromen is als 1/10:1/20:1/30 (van links naar rechts). Dus ook als (KGV) 6:3:2. De som daarvan is 11. Dus stromen verhouden zich als 6/11, 3/11 en 2/11 van het geheel.
De stroom in het geheel is 12 mA.
Dus I1 = - 6/11.12 mA = - 6,54 mA,
I2 = 3/11.12 = 3,27 mA en
I3 = 2/11.12 = 2,18 mA.
Een veel gemaakte fout is, dat je denkt dat de stromen zich verhouden als 10:20:30, dus 1:2:3. Dat is dus fout. Het is juist 1/10:1/20:1/30.
Dat blijkt uit het volgende deel van deze opgave:
Als R2 = 15 Ohm dan worden de stroomverhoudingen: 1/10:1/15:1/30 oftewel 3:2:1.
De som is 6. Dus worden de stromen nu -3/6, 2/6 resp. 1/6 x 12 mA =
- 6, 4, 2 mA.
Een alternatieve aanpak kan ook zo:
Eerst de totale vervangingsweerstand bepalen en dan weet je de spanning. Daarna 3x de wet van Ohm toepassen:
Dus
[zie formule]
De spanning over alle weerstanden is dus gelijk aan:<br><br><img src='opgave_446.png' style='max-width:600px;'><br><img src='opgave_447.png' style='max-width:600px;'><br><img src='opgave_448.png' style='max-width:600px;'><br>","<b>Uitwerking:</b><br><br>Aanpak: eerst de totale vervangingsweerstand bepalen en dan weet je de spanning. Daarna 3x de wet van Ohm toepassen:
Dus
[formule]
De spanning over alle weerstanden is dus gelijk aan:<br><i>Bron: Holmes Hoofdstuk 1.9, blz. 13</i>",uitwerkingen;holmes;basiswetten;netwerk-analyse;niveau-gemiddeld;h1-9
